code,name,description,isActive,sortOrder,requestType_code
MAT_ENG_IT,Engineering and IT,Engineering and IT material code,1,10,MATERIAL_CODE
MAT_ADMIN_CONS,Admin and Consumables,Admin and consumable material code,1,20,MATERIAL_CODE
MAT_ZTRD_NEW,Trading Material - New,New ZTRD trading material,1,30,MATERIAL_CODE
MAT_ZTRD_EXISTING,Trading Material - Existing,Change extension or DMS update,1,40,MATERIAL_CODE
SVC_NEW,New Service Code,Create a new service code,1,10,SERVICE_CODE
SVC_EXISTING,Existing Service Code,Modify an existing service code,1,20,SERVICE_CODE
EQP_NEW,New Equipment Code,Create a new equipment code,1,10,EQUIPMENT_CODE
EQP_EXISTING,Existing Equipment Code,Update an existing equipment code,1,20,EQUIPMENT_CODE
PROJECT_NEW_MOD,Project New or Modification,Create or modify a project code,1,10,PROJECT_CODE
PROJECT_FL_ACTIVITY,Function Location or Activity,Create function-location or activity,1,20,PROJECT_CODE
RES_DIRECT,Direct Delivery,Direct-delivery material reservation,1,10,MATERIAL_RESERVATION
RES_WAREHOUSE,Warehouse Material,Warehouse material reservation,1,20,MATERIAL_RESERVATION
CONTRACT_NEW,New Contract,Create a new outline contract,1,10,OUTLINE_CONTRACT
CONTRACT_MOD,Contract Modification,Amend an existing outline contract,1,20,OUTLINE_CONTRACT
PO_CAPEX_IM,Capex IM,Capital expenditure IM purchase order,1,10,PURCHASE_ORDER
PO_CAPEX_FM,Capex FM,Capital expenditure FM purchase order,1,20,PURCHASE_ORDER
PO_OPEX,Opex,Operating expenditure purchase order,1,30,PURCHASE_ORDER
SES_NEW,New SES,Create a new service entry sheet,1,10,SERVICE_ENTRY_SHEET
SES_MOD,SES Modification,Modify an existing service entry sheet,1,20,SERVICE_ENTRY_SHEET
