ID,createdAt,createdBy,modifiedAt,modifiedBy,referenceNumber,teamCode,name,description,isActive
96999a76-1bd0-4bec-a032-251abe9c8d44,2026-08-07T04:34:40.366,system,2026-08-07T04:34:40.366,system,TEM-000006,Brainbox Ariba,Brainbox Ariba,Ariba Solutions by Brainbox,1
8714c645-80da-4b06-9e4d-176ddcc5cfd4,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000007,All Company,All Company,This is the default group for everyone in the network,1
6d8626e3-0bc7-437f-ab6c-823ca72272b7,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000007,Access Engineering PLC,Access Engineering PLC,Access Engineering PLC,1
91d1898b-e68a-4669-bb50-0fa4355154f3,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000008,AdaptNext & Brainbox,AdaptNext & Brainbox,AdaptNext & Brainbox,1
ee561c46-bb52-4050-aa68-867c62bc52d1,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000008,Admini&HR,Admini&HR,Admini&HR,1
949d815e-3729-41a0-a110-6267634550ee,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000009,Agile CoE,Agile CoE,Agile,1
5dfea136-8061-4a6b-9d6d-07663dca89f6,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000009,AppX - Extend Business Application,AppX - Extend Business Application,AppX - Extend Business Application,1
e5c6630c-0a2b-4064-9013-54a1a325494d,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000010,AppXtend,AppXtend,AppXtend,1
28dcb44b-e4e8-45e2-95b7-2cbc4310a6ea,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000010,Ariba COE,Ariba COE,Ariba COE,1
9f5ecd37-0d68-40a7-ae72-a9dca7316593,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000011,Ariba Learning,Ariba Learning,Ariba Learning,1
6b819977-de6b-4f9f-9e07-7287cfcd853d,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000011,Ariba Learning Path,Ariba Learning Path,"Welcome to the Ariba Learning Path Team channel! This channel is dedicated to enhancing our knowledge and expertise in Ariba Procure-to-Pay (P2P),P2O, CA and BN and fostering collaboration among team members. Whether you're a seasoned Ariba user or just getting started, this space is designed to support your professional growth and development.",1
2b6aeaec-6d6d-4e4c-88b0-997d2b9992c2,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000012,BB Digital,BB Digital,BB Digital,1
a575e5d9-8a1e-4af9-81b0-35473828bcc9,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000012,BB Digital Projects,BB Digital Projects,BB Digital Projects,1
701b2f6b-d501-4ecc-8bf0-4504eb761f55,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000013,BB S2P Pre sales and Sales Team,BB S2P Pre sales and Sales Team,Dedicated teams channel for pre sales and sales team,1
f074f785-fb5d-4282-8776-64df8a7c36cf,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000013,BBC consultants profiles,BBC consultants profiles,Folder will have one slider profiles of all the BBC consultants,1
d293740a-ff6f-4f13-a534-0d7771e9067d,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000014,BCD - Finance,BCD - Finance,BCD - Finance,1
f3569250-0028-42ff-9849-4fd2656c8ee6,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000014,Bish sales leads,Bish sales leads,Biswa sales leads,1
fbc1a381-345d-41cd-8b42-dd3985ea7bbb,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000015,"Blogs, Webinars","Blogs, Webinars","Blogs, Webinars",1
3c4022a5-cfeb-4409-981c-c918e6e0ebbb,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000015,Brainbox Active List,Brainbox Active List,Brainbox Active List,1
8d45ad63-0ddf-4b4c-a80a-1f7cf366f3aa,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000016,Brainbox Engineering,Brainbox Engineering,Brainbox Engineering,1
e98d9852-f5e3-4022-8128-3ac00cd932ff,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000016,Brainbox External,Brainbox External,Brainbox External,1
4d9afafc-c56b-44c2-a2f1-a9080c55ea93,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000017,Brainbox Presales,Brainbox Presales,Presales documentation,1
35f0ff79-ada6-4edf-871b-54a831d59dd1,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000017,Brainbox Procurement Sales & Marketing,Brainbox Procurement Sales & Marketing,All relevant Information on Procurement Sales & Marketing,1
fcb98771-2281-4658-9e2d-63b630d3e554,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000018,Brainstorm Session Questions,Brainstorm Session Questions,Submit all questions here from the brainstorm session you have,1
eb5d3e0c-b569-4b7e-870b-fca4676ac73d,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000018,C4C - AMOS,C4C - AMOS,C4C - AMOS,1
641ca861-4b36-42c9-b4af-5b29c3b866b5,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000019,Capital Maharaja,Capital Maharaja,Capital Maharaja,1
c8461c8d-cdec-4c74-afd0-d0018f647218,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000019,Category management,Category management,Category management,1
d0abd40a-0c22-4c71-ad1c-84fc7523958d,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000020,CBL Implementation Project,CBL Implementation Project,CBL Implementation Project,1
54a00d23-c256-4409-a4d1-07bbfb98f31a,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000020,Centrient Tender (Expertum),Centrient Tender (Expertum),Centrient Tender (Expertum),1
b1c5355e-5e17-4427-b46d-c8159f8c24d6,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000021,Change Management,Change Management,Change Management,1
fcad179e-2425-4709-a1aa-da9846278222,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000021,Cohance - Implementation Project,Cohance - Implementation Project,Cohance - Implementation Project,1
b8ec4857-3ee2-47b9-8446-c538ced55d95,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000022,Concur Team,Concur Team,"Concur Implementation, Functional, and Sales",1
c89b1114-a2fb-498b-8b7b-0bd5e8b42308,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000022,Conversational Chatbot / AI ML/RPA,Conversational Chatbot / AI ML/RPA,Conversational Chatbot / AI ML/RPA,1
5a4da73b-dde3-436c-81c5-7868aeb1cc02,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000023,Crystal Ventures Ltd,Crystal Ventures Ltd,Crystal Ventures Ltd,1
7921d613-5528-48f8-82e2-0ec4e9d2e083,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000023,CV,CV,CV,1
9dbf4e4b-ccba-4e7e-80a9-6757faf9d3a2,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000024,Dairy Day,Dairy Day,Dairy Day,1
9c6f5fc5-c05b-42c2-aeeb-1e17dc5319ab,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000024,Demo Videos,Demo Videos,Demo Videos,1
b0f7e7a7-3d8b-45aa-8703-8a863cd97a25,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000025,Devesh,Devesh,Devesh,1
310852b6-0954-4510-b681-8d7dabefc360,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000025,DevOpsCoE,DevOpsCoE,DevOps place holder,1
22d416d1-5122-464c-a273-3c1a3f6835e9,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000026,Dialog Delivery,Dialog Delivery,Dialog Delivery,1
7130a4d5-3716-4c78-9098-c46b4111d307,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000026,Digital Price Management,Digital Price Management,Digital Price Management,1
a191a626-c7cd-4130-bf48-b789d015ff18,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000027,Digital - Ops,Digital - Ops,Digital team operations,1
8518339f-de34-4207-80c5-f9de6259293b,2026-08-21T14:48:33.351,system,2026-08-21T14:48:33.351,system,TEM-000027,Doka - RFP,Doka - RFP,"Manage tasks, share documents, conduct project meetings and document risks and decisions with this template for general project management.",1
