ID,ruleCode,description,minimumAmount,maximumAmount,minimumInclusive,maximumInclusive,approvalMode,approverRoleCodes,conditionCode,conditionDescription,priority,isActive,remarks,amount,operator_code,roleCode
9b5b5df0-7c20-4eed-8b13-73a9448bd001,NON_PO_STD_001,Non-PO payment up to LKR 100000,0,100000,true,true,SINGLE,SPECIALIST,,,0,true,Specialists within the portfolio,100000,<=,SPECIALIST
9b5b5df0-7c20-4eed-8b13-73a9448bd002,NON_PO_STD_002,Non-PO payment above LKR 100000 and up to LKR 200000,100000,200000,false,true,SINGLE,ASSISTANT_MANAGER,,,0,true,Assistant Managers within the portfolio,200000,<=,ASSISTANT_MANAGER
9b5b5df0-7c20-4eed-8b13-73a9448bd003,NON_PO_STD_003,Non-PO payment above LKR 200000 and up to LKR 500000,200000,500000,false,true,SINGLE,UNIT_MANAGER,,,0,true,Unit Managers within the portfolio,500000,<=,UNIT_MANAGER
9b5b5df0-7c20-4eed-8b13-73a9448bd004,NON_PO_STD_004,Non-PO payment above LKR 500000 and up to LKR 1000000,500000,1000000,false,true,SINGLE,MANAGER,,,0,true,Managers within the portfolio,1000000,<=,MANAGER
9b5b5df0-7c20-4eed-8b13-73a9448bd005,NON_PO_STD_005,Non-PO payment above LKR 1000000 and up to LKR 5000000,1000000,5000000,false,true,ANY,CHIEF_MANAGER;SENIOR_MANAGER,,,0,true,Chief Managers or Senior Managers within the portfolio,5000000,<=,CHIEF_MANAGER
9b5b5df0-7c20-4eed-8b13-73a9448bd006,NON_PO_STD_006,Non-PO payment above LKR 5000000 and up to LKR 25000000,5000000,25000000,false,true,ANY,SGM;GM;HEAD,,,0,true,SGM or GM or Head within the portfolio,25000000,<=,SGM
9b5b5df0-7c20-4eed-8b13-73a9448bd007,NON_PO_STD_007,Non-PO payment above LKR 25000000 and up to LKR 100000000,25000000,100000000,false,true,ANY,CHIEF_OFFICER;SVP;VP,,,0,true,Chief Officers or SVP or VP within the portfolio,100000000,<=,CHIEF_OFFICER
9b5b5df0-7c20-4eed-8b13-73a9448bd008,NON_PO_STD_008,Non-PO payment above LKR 100000000 and up to LKR 500000000,100000000,500000000,false,true,ANY,GFC;GBC,,,0,true,Either GFC or GBC may approve,500000000,<=,GFC
9b5b5df0-7c20-4eed-8b13-73a9448bd009,NON_PO_STD_009,Non-PO payment above LKR 500000000 and up to LKR 750000000,500000000,750000000,false,true,ANY,GCOO;GCFO,,,0,true,Either GCOO or GCFO may approve,750000000,<=,GCOO
9b5b5df0-7c20-4eed-8b13-73a9448bd010,NON_PO_STD_010,Non-PO payment above LKR 750000000,750000000,,false,true,SINGLE,GCEO,,,0,true,,750000000,>,GCEO
9b5b5df0-7c20-4eed-8b13-73a9448bd011,NON_PO_EX_034,Recurring Inland Revenue tax payments,,,true,true,SINGLE,HEAD_GFAR,NOTE_34,Recurring tax payments to the Department of Inland Revenue,100,false,Exception has no value limit. Activate only after the request carries an unambiguous recurring-tax condition.,,,HEAD_GFAR
9b5b5df0-7c20-4eed-8b13-73a9448bd012,NON_PO_EX_035,CEB master bill payments up to LKR 50000000,0,50000000,true,true,SINGLE,HOD_TECH_FULFILMENT_ASSURANCE,NOTE_35,CEB master bill payment,100,false,Activate only after the request carries an unambiguous CEB master-bill condition.,50000000,<=,HOD_TECH_FULFILMENT_ASSURANCE
9b5b5df0-7c20-4eed-8b13-73a9448bd013,NON_PO_EX_036_1,TRC BOI or DGC payment initiated by Imports up to LKR 1000000,0,1000000,true,true,SINGLE,MANAGER_IMPORTS_SCM,NOTE_36,TRC BOI or DGC payment initiated by Imports,100,true,,1000000,<=,MANAGER_IMPORTS_SCM
9b5b5df0-7c20-4eed-8b13-73a9448bd014,NON_PO_EX_036_2,TRC BOI or DGC payment initiated by Imports above LKR 1000000 and up to LKR 100000000,1000000,100000000,false,true,SINGLE,HEAD_SCM,NOTE_36,TRC BOI or DGC payment initiated by Imports,100,true,,100000000,<=,HEAD_SCM
9b5b5df0-7c20-4eed-8b13-73a9448bd015,NON_PO_EX_036_3,TRC BOI or DGC payment initiated by Imports above LKR 100000000,100000000,,false,true,SINGLE,GCPO,NOTE_36,TRC BOI or DGC payment initiated by Imports,100,true,,100000000,>,GCPO
