fieldName,label,dataType,defaultValue,placeholder,inputHint
poNumber,PO number,String,,,
entityDapDbnDtvDttDnsDbsTelecard,Entity (DAP/DBN/DTV/DTT/DNS/DBS/Telecard/Hone),String,,,
paymentModePoSetOff,Payment mode (PO/ Set-off),String,,,
paymentTypeInvoiceDebitNoteCreditNote,Payment type (Invoice/debit note/credit note),String,,,
paymentCategoryLocalForeign,Payment category (Local/ Foreign),String,,,
beneficiaryName,Beneficiary name,String,,,
financeOfficer,Finance officer,String,,,
requesterInfomatePoCreationTeamMember,Requester (Infomate PO creation team member),String,,,
userDivisionRepresentative,User division representative,String,,,
poCreator,PO Creator,String,,,
invoiceNumber,Invoice Number,String,,,
invoiceAmount,Invoice amount,Decimal,,,Amount
sesReference,SES reference,String,,,
currency,Currency,String,,,
additionalRemarks,Additional remarks,String,,,
paymentMethodChequeBankDraftFundTransfer,Payment method (Cheque/ Bank Draft/ Fund Transfer),String,,,
whtCerficateReferenceOnlyApplicableForForeignPayments,WHT cerficate reference (only applicable for foreign payments),String,,,
supportingDocumentsInvoiceDebitNoteCreditNoteUac,Supporting Documents - (Invoice/debit note/credit note/ UAC for FTK service),Attachment/Text,,,DocumentReference
paymentModePoAdvancePoAdvanceSettlementFtk,Payment mode (PO Advance/ PO Advance settlement / FTK Duty Reimbursement),String,,,
performaInvoiceNumberSettlementInvoiceNumberDebitNote,Performa Invoice Number / Settlement Invoice number/ Debit note number,String,,,
requestingAmountSettlingAmount,Requesting amount/Settling amount,Decimal,,,Amount
supportingDocumentsPoInvoiceBankStatementCusdecAssessment,"Supporting Documents (PO/Invoice/Bank statement/ Cusdec , assessment notice , commercial invoice for FTK duty reimbursements )",Attachment/Text,,,DocumentReference
paymentModePoAdvancePoAdvanceSettlement,Payment mode (PO Advance/ PO Advance settlement),String,,,
performaInvoiceNumberSettlementInvoiceNumber,Performa Invoice Number / Settlement Invoice number,String,,,
supportingDocumentsPoInvoiceBankStatement,Supporting Documents (PO/Invoice/Bank statement),Attachment/Text,,,DocumentReference
paymentModePo,Payment mode (PO),String,,,
relevantCreditNoteNumber,Relevant credit note number,String,,,
paymentMethodChequeNonCheque,Payment method (Cheque/ Non-cheque),String,,,
supportingDocumentsInvoiceDebitNoteCreditNote,Supporting Documents - (Invoice/debit note/credit note),Attachment/Text,,,DocumentReference
setNumber,Set number,String,,,
poCurrency,PO Currency,String,,,
entity,Entity,String,,,
ciNumber,CI Number,String,,,
ciCurrency,CI Currency,String,,,
ciTypeSwHw,CI Type (SW / HW),String,,,
poContributionFromCommercialInvoice,PO Contribution from Commercial Invoice,String,,,
poNumberPoLineItems,PO Number (PO Line items),String,,,
poValue,PO Value,Decimal,,,Amount
sesNumber,SES Number,String,,,
sesValue,SES Value,Decimal,,,Amount
paymentTerm,Payment term,String,,,
uacValue,UAC Value,Decimal,,,Amount
commercialInvoiceNumberS,Commercial Invoice Number/s,String,,,
commercialInvoiceValue,Commercial Invoice Value,Decimal,,,Amount
uacContributionOnCommercialInvoice,UAC contribution on Commercial Invoice,String,,,
paymentDueDate,Payment Due Date,Date,,,Date
currencyInvoiceAndUac,Currency (Invoice & UAC),String,,,
verificationExcel,Verification Excel,Attachment/Text,,,DocumentReference
entityDapDbn,Entity (DAP/DBN),String,,,
invoiceAcceptanceConfrimation,Invoice Acceptance Confrimation,String,,,
paymentTypeFtkFactoringFtkNonFactoring,Payment type (FTK Factoring / FTK Non Factoring),String,,,
paymentCategoryLocalForeign2,Payment category ( Local/ Foreign),String,,,
paymentClassificationHardwareSoftware,Payment classification ( Hardware/ Software),String,,,
requesterVendor,Requester (Vendor),String,,,
paymentMethodDaTt,Payment method (DA/ TT),String,,,
supportingDocumentsCommercialInvoiceUacUacCoverExcel,Supporting Documents - (Commercial Invoice/UAC / UAC Cover/ Excel),Attachment/Text,,,DocumentReference
siteName,Site Name,String,,,
siteId,Site ID,String,,,
uacReceivedDate,UAC received Date,Date,,,Date
bank,Bank,String,,,
bankReferenceDaReferenceOnlyForHw,Bank Reference ( DA Reference) (Only for HW),String,,,
nAIdealIfThisCanBeAuto,N/A (Ideal if this can be auto generated via WH comparing the liabilities against the payments debited as per bank statement),Attachment/Text,,,DocumentReference
sameAsFtkFactoring,Same as FTK Factoring,String,,,
creditCardHolderName,Credit card holder name,String,,,
creditCardNumber,Credit card number,String,,,
creditCardIssuingBank,Credit card issuing bank,String,,,
tableWithSubjectVendorNameDescriptionPoNumber,"Table with Subject, vendor name, description, PO number, SES, Forex value, LKR value, payment date, Annual Fee ,Late payment Fee, Stamp duty, Interest charges & Other payments debited)",Date,,,Amount
supportingDocumentsCreditCardStatmentInvoicesEtc,"Supporting documents (Credit card statment, Invoices etc.)",Attachment/Text,,,DocumentReference
entityDap,Entity (DAP),String,,,
requester,Requester,String,,,
