code,locale,name,descr
opDown-196,fi,name-38416,descr-38416
opDown-196,pt,name-38417,descr-38417
opDown-197,nl,name-18033284,descr-18033284
opDown-197,pl,name-18033285,descr-18033285
opDown-198,sv,name-19125180,descr-19125180
opDown-198,ja,name-19125181,descr-19125181
opDown-199,nl,name-24076661,descr-24076661
opDown-199,ja,name-24076662,descr-24076662
opDown-200,tr,name-3744941,descr-3744941
opDown-200,ko,name-3744942,descr-3744942
opDown-201,en,name-13274369,descr-13274369
opDown-201,th,name-13274370,descr-13274370
opDown-202,en,name-29041823,descr-29041823
opDown-202,zh,name-29041824,descr-29041824
opDown-203,es,name-22363300,descr-22363300
opDown-203,ru,name-22363301,descr-22363301
opDown-204,zh,name-8344739,descr-8344739
opDown-204,nl,name-8344740,descr-8344740
opDown-205,tr,name-17371818,descr-17371818
opDown-205,ko,name-17371819,descr-17371819
opDown-206,pt,name-3889150,descr-3889150
opDown-206,th,name-3889151,descr-3889151
opDown-207,pt,name-14447682,descr-14447682
opDown-207,ar,name-14447683,descr-14447683
opDown-208,pl,name-12464127,descr-12464127
opDown-208,da,name-12464128,descr-12464128
opDown-209,th,name-6785935,descr-6785935
opDown-209,pl,name-6785936,descr-6785936
opDown-210,sv,name-6629047,descr-6629047
opDown-210,pl,name-6629048,descr-6629048
opDown-211,zh,name-19747134,descr-19747134
opDown-211,ms,name-19747135,descr-19747135
opDown-212,pl,name-30938882,descr-30938882
opDown-212,zh,name-30938883,descr-30938883
opDown-213,hu,name-226281,descr-226281
opDown-213,ko,name-226282,descr-226282
opDown-214,fi,name-20733565,descr-20733565
opDown-214,da,name-20733566,descr-20733566
opDown-215,zh,name-29045271,descr-29045271
opDown-215,fr,name-29045272,descr-29045272
opDown-216,en,name-27451951,descr-27451951
opDown-216,zh,name-27451952,descr-27451952
opDown-217,ro,name-9597451,descr-9597451
opDown-217,ar,name-9597452,descr-9597452
opDown-218,sv,name-21266134,descr-21266134
opDown-218,cs,name-21266135,descr-21266135
opDown-219,ar,name-17210207,descr-17210207
opDown-219,it,name-17210208,descr-17210208
opDown-220,de,name-21050417,descr-21050417
opDown-220,ms,name-21050418,descr-21050418
opDown-221,pt,name-23071113,descr-23071113
opDown-221,zh,name-23071114,descr-23071114
opDown-222,zh,name-4785465,descr-4785465
opDown-222,ru,name-4785466,descr-4785466
opDown-223,it,name-22084405,descr-22084405
opDown-223,th,name-22084406,descr-22084406
opDown-224,cs,name-23001472,descr-23001472
opDown-224,pt,name-23001473,descr-23001473
opDown-225,es,name-4879603,descr-4879603
opDown-225,pl,name-4879604,descr-4879604
opDown-226,nl,name-10016943,descr-10016943
opDown-226,hu,name-10016944,descr-10016944
opDown-227,ro,name-30703310,descr-30703310
opDown-227,th,name-30703311,descr-30703311
opDown-228,hu,name-11261793,descr-11261793
opDown-228,it,name-11261794,descr-11261794
opDown-229,nl,name-24991622,descr-24991622
opDown-229,ko,name-24991623,descr-24991623
opDown-230,pl,name-14178765,descr-14178765
opDown-230,fi,name-14178766,descr-14178766
opDown-231,it,name-16379441,descr-16379441
opDown-231,da,name-16379442,descr-16379442
opDown-232,sv,name-23267365,descr-23267365
opDown-232,fr,name-23267366,descr-23267366
opDown-233,pl,name-28517954,descr-28517954
opDown-233,ja,name-28517955,descr-28517955
opDown-234,ar,name-1457605,descr-1457605
opDown-234,pl,name-1457606,descr-1457606
opDown-235,ja,name-14528121,descr-14528121
opDown-235,pl,name-14528122,descr-14528122
